Institute Name,Branch name,OP.open,OP.close,OPPH.open,OPPH.close,SC.open,SC.close,SCPH.open,SCPH.close,ST.open,ST.close,STPH.open,STPH.close,OBC-A.open,OBC-A.close,OBC-A(PwD).open,OBC-A(PwD).close,OBC-B.open,OBC-B.close,OBC-B(PwD).open,OBC-B(PwD).close,TFW.open,TFW.close
Cooch Behar Government Engineering College,Civil Engineering,8820,15087,0,0,15525,24889,0,0,43664,53732,0,0,18859,25898,0,0,15791,17137,0,0,0,0
Cooch Behar Government Engineering College,Civil Engineering (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9228,10386
Cooch Behar Government Engineering College,Computer Science & Engineering/ Computer Science & Technology,4519,9657,43786,43786,15258,19150,0,0,40142,55759,0,0,10571,13228,0,0,9679,10411,0,0,0,0
Cooch Behar Government Engineering College,Computer Science & Engineering/Computer Science & Technology (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3303,5518
Cooch Behar Government Engineering College,Electrical Engineering,8375,13389,64949,64949,14675,24532,0,0,57622,71508,0,0,14674,18420,0,0,13716,14974,0,0,0,0
Cooch Behar Government Engineering College,Electrical Engineering (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,8755
Cooch Behar Government Engineering College,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,6986,11824,0,0,15014,21859,0,0,63811,67400,0,0,14756,18185,0,0,12237,12809,0,0,0,0
Cooch Behar Government Engineering College,Electronics & Communication Engineering/Electronics & Telecommunication Engineering (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7206,9506
Cooch Behar Government Engineering College,Mechanical Engineering,4723,15235,0,0,18631,25657,0,0,36602,69359,0,0,19747,24277,0,0,16200,16417,0,0,0,0
Cooch Behar Government Engineering College,Mechanical Engineering (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6908,10528
Ghani Khan Choudhury Institute Of Engineering and Technology,Electrical Engineering,6763,16585,0,0,21531,25822,0,0,72970,72970,0,0,22028,27563,0,0,17243,17850,0,0,0,0
Ghani Khan Choudhury Institute Of Engineering and Technology,Food Technology,11856,20277,26061,26061,29927,33064,0,0,78365,79759,0,0,24873,28942,0,0,22060,22251,0,0,0,0
Ghani Khan Choudhury Institute Of Engineering and Technology,Mechanical Engineering,9628,17872,0,0,26424,29003,0,0,56153,71754,0,0,18511,25058,0,0,18828,19103,0,0,0,0
Ghani Khan Choudhury Institute Of Engineering and Technology,Mechanical Engineering (Tfw),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11017,12261
Goverment College Of Engineering And Leather Technology,Computer Science & Engineering/ Computer Science & Technology,1795,4609,64300,67438,8013,14566,0,0,30338,33843,0,0,7243,9677,0,0,5386,5612,0,0,0,0
